,Price,Kilometres,Year,Age of Car
560,19788,171266,2013.0,11.0
561,26880,97000,2013.0,11.0
562,44990,111153,2018.0,6.0
563,83900,1550,2022.0,2.0
564,109900,- / -,2023.0,1.0
565,19888,119565,2011.0,13.0
566,19990,104000,2013.0,11.0
567,18990,140507,2009.0,15.0
568,34880,41275,2017.0,7.0
569,42888,77171,2016.0,8.0
570,66990,37128,2019.0,5.0
571,27990,79093,2016.0,8.0
572,63999,149911,2013.0,11.0
573,16990,111015,2010.0,14.0
574,28888,88987,2015.0,9.0
575,17890,170658,2013.0,11.0
576,34990,103342,2015.0,9.0
577,16990,129107,2013.0,11.0
578,42990,45975,2019.0,5.0
579,49800,109826,2018.0,6.0
580,32980,93671,2015.0,9.0
581,33990,143545,2015.0,9.0
582,16990,57000,2014.0,10.0
583,54800,110536,2018.0,6.0
584,52990,70658,2019.0,5.0
585,15990,177411,2012.0,12.0
586,42997,120000,2017.0,7.0
587,33800,77575,2017.0,7.0
588,22995,132816,2015.0,9.0
589,47990,36131,2019.0,5.0
590,127400,- / -,2023.0,1.0
591,16999,123567,2016.0,8.0
592,94990,5950,2022.0,2.0
593,38888,95888,2017.0,7.0
594,29980,153889,2012.0,12.0
595,19990,187900,2007.0,17.0
596,12990,197119,2004.0,20.0
597,157888,24428,2020.0,4.0
598,45880,153515,2014.0,10.0
599,26990,79752,2009.0,15.0
600,51892,42597,2019.0,5.0
601,11999,219351,2010.0,14.0
602,34382,67578,2017.0,7.0
603,33888,178000,2013.0,11.0
604,23990,159780,2015.0,9.0
605,49990,64765,2018.0,6.0
606,35800,97017,2016.0,8.0
607,21999,143119,2013.0,11.0
608,56888,15462,2020.0,4.0
609,47880,62987,2015.0,9.0
610,14985,220257,2012.0,12.0
611,119900,3208,2021.0,3.0
612,21497,60411,2015.0,9.0
613,14888,180196,2010.0,14.0
614,16999,125456,2012.0,12.0
615,14800,176494,2014.0,10.0
616,23990,189177,2011.0,13.0
617,46800,81697,2017.0,7.0
618,86888,53570,2019.0,5.0
619,24985,82624,2014.0,10.0
620,12990,140789,2007.0,17.0
621,13999,95204,2011.0,13.0
622,39500,147552,2019.0,5.0
623,46932,50800,2016.0,8.0
624,63990,65821,2020.0,4.0
625,77990,35500,2021.0,3.0
626,41900,53479,2019.0,5.0
627,89988,9979,2021.0,3.0
628,49990,81568,2019.0,5.0
629,42990,55928,2019.0,5.0
630,27490,69093,2015.0,9.0
631,45900,127495,2018.0,6.0
632,9999,94217,2006.0,18.0
633,41990,53878,2016.0,8.0
634,23999,66616,2011.0,13.0
635,48888,28164,2020.0,4.0
636,108988,8472,2022.0,2.0
637,59986,67850,2015.0,9.0
638,154000,2229,2023.0,1.0
639,12999,128194,2003.0,21.0
640,39800,122791,2015.0,9.0
641,7499,264152,2004.0,20.0
642,9900,175000,2008.0,16.0
643,14990,173100,2011.0,13.0
644,46990,72584,2016.0,8.0
645,34990,85748,2016.0,8.0
646,82888,54746,2016.0,8.0
647,44990,59223,2018.0,6.0
648,70400,- / -,2023.0,1.0
649,89988,8303,2022.0,2.0
650,48990,27559,2020.0,4.0
651,34990,83803,2014.0,10.0
652,35990,82657,2016.0,8.0
653,17880,53447,2012.0,12.0
654,144988,2284,2022.0,2.0
655,42990,98210,2016.0,8.0
656,51888,43076,2020.0,4.0
657,14990,154973,2009.0,15.0
658,189900,50410,2020.0,4.0
659,12999,122382,2012.0,12.0
660,189990,1589,2023.0,1.0
661,39888,48661,2018.0,6.0
662,12990,199582,2012.0,12.0
663,47888,69425,2014.0,10.0
664,23999,123698,2013.0,11.0
665,32000,44145,2015.0,9.0
666,68888,9066,2022.0,2.0
667,66980,1598,2023.0,1.0
668,258888,100,2022.0,2.0
669,49900,20297,2021.0,3.0
670,39999,66253,2014.0,10.0
671,28800,56877,2014.0,10.0
672,14913,98279,2012.0,12.0
673,38990,117614,2016.0,8.0
674,46500,57500,2018.0,6.0
675,12788,326592,2009.0,15.0
676,29990,84910,2016.0,8.0
677,54541,7378,2022.0,2.0
678,76898,2996,2022.0,2.0
679,48990,23350,2021.0,3.0
680,39990,90199,2017.0,7.0
681,57990,75428,2019.0,5.0
682,31999,134816,2014.0,10.0
683,67988,29567,2021.0,3.0
684,53888,3720,2022.0,2.0
685,41998,59740,2017.0,7.0
686,102880,96,2023.0,1.0
687,129888,5500,2022.0,2.0
688,26800,44286,2017.0,7.0
689,108888,70642,2018.0,6.0
690,29950,67678,2012.0,12.0
691,17990,122327,2012.0,12.0
692,14990,102551,2010.0,14.0
693,41280,79882,2017.0,7.0
694,64999,39233,2018.0,6.0
695,8990,297935,2009.0,15.0
696,64880,20501,2020.0,4.0
697,26990,134600,2015.0,9.0
698,21990,245293,2013.0,11.0
699,15799,248336,2007.0,17.0
700,83680,1568,2023.0,1.0
701,64950,21696,2022.0,2.0
702,19999,155810,2013.0,11.0
703,34990,57261,2016.0,8.0
704,38800,147211,2018.0,6.0
705,17999,78907,2011.0,13.0
706,33900,45676,2018.0,6.0
707,69988,5507,2022.0,2.0
708,219880,8525,2022.0,2.0
709,79988,6067,2022.0,2.0
710,48615,56463,2018.0,6.0
711,63747,66943,2016.0,8.0
712,18990,137000,2012.0,12.0
713,54800,44905,2019.0,5.0
714,67988,23332,2021.0,3.0
715,53950,119345,2010.0,14.0
716,27999,110092,2015.0,9.0
717,48888,3622,2021.0,3.0
718,114888,54675,2019.0,5.0
719,19830,88796,2013.0,11.0
720,143900,7618,2022.0,2.0
721,14999,159987,2012.0,12.0
722,47880,68375,2018.0,6.0
723,10880,229021,2006.0,18.0
724,67880,79921,2018.0,6.0
725,17990,163803,2013.0,11.0
726,47990,61043,2020.0,4.0
727,6988,335783,1997.0,27.0
728,24999,123689,2014.0,10.0
729,31950,140913,2010.0,14.0
730,115990,8254,2021.0,3.0
731,38000,55800,2014.0,10.0
732,39990,82344,2017.0,7.0
733,49950,47683,2014.0,10.0
734,44990,51778,2010.0,14.0
735,57988,8532,2022.0,2.0
736,26950,36705,2015.0,9.0
737,99888,3640,2022.0,2.0
738,13990,156433,2008.0,16.0
739,34888,72762,2014.0,10.0
740,16888,161000,2012.0,12.0
741,81888,62773,2019.0,5.0
742,89990,50301,2020.0,4.0
743,149990,35458,2019.0,5.0
744,79990,91377,2020.0,4.0
745,39990,68011,2013.0,11.0
746,28990,71815,2015.0,9.0
747,77990,49928,2018.0,6.0
748,84999,26000,2018.0,6.0
749,32888,76101,2013.0,11.0
750,13990,199599,2012.0,12.0
751,31990,93351,2017.0,7.0
752,19888,110000,2012.0,12.0
753,44990,35197,2018.0,6.0
754,34988,69479,2015.0,9.0
755,54990,85400,2016.0,8.0
756,137880,87898,2016.0,8.0
757,11800,181866,2010.0,14.0
758,36990,97624,2014.0,10.0
759,26998,43754,2016.0,8.0
760,28990,46232,2015.0,9.0
761,32999,105012,2014.0,10.0
762,7900,240850,2002.0,22.0
763,19990,186613,2012.0,12.0
764,32880,74396,2015.0,9.0
765,13999,278106,2011.0,13.0
766,98700,- / -,2023.0,1.0
767,35850,42253,2019.0,5.0
768,19990,102781,2013.0,11.0
769,19999,143700,2010.0,14.0
770,61990,28667,2020.0,4.0
771,22888,140159,2013.0,11.0
772,26990,142996,2014.0,10.0
773,126888,5740,2022.0,2.0
774,18999,126193,2015.0,9.0
775,299000,1550,2022.0,2.0
776,5999,180001,2007.0,17.0
777,16995,147216,2013.0,11.0
778,39990,56534,2017.0,7.0
779,57990,104699,2016.0,8.0
780,28800,57654,2014.0,10.0
781,59888,64881,2018.0,6.0
782,27500,80000,2013.0,11.0
783,66900,1589,2023.0,1.0
784,25800,32217,2017.0,7.0
785,36800,67704,2017.0,7.0
786,82950,65112,2015.0,9.0
787,53500,- / -,2023.0,1.0
788,7888,266859,2009.0,15.0
789,79988,393,2022.0,2.0
790,27990,112673,2013.0,11.0
791,24990,147926,2013.0,11.0
792,52490,43412,2021.0,3.0
793,86980,1569,2023.0,1.0
794,48995,9090,2021.0,3.0
795,52880,46147,2019.0,5.0
796,145900,- / -,2023.0,1.0
797,114980,1989,2023.0,1.0
798,299888,940,2022.0,2.0
