,Brand,Year,Model,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price
12047,Subaru,2013,WRX,2013 Subaru WRX (AWD),USED,Manual,"4 cyl, 2.5 L",AWD,Premium,10.7 L / 100 km,120130,Blue / -,"Myaree, WA",4 cyl,Hatchback, 5 Doors, 5 Seats,27990
12048,Subaru,2021,Forester,2021 Subaru Forester 2.5I (awd),USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,7.4 L / 100 km,13079,Silver / Black,"Oakleigh, VIC",4 cyl,SUV, 4 Doors, 5 Seats,38998
12049,Subaru,2011,Impreza,2011 Subaru Impreza R (awd),USED,Manual,"4 cyl, 2 L",AWD,Premium,8.9 L / 100 km,155496,Grey / Black,"Tuggerah, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,12990
12050,Subaru,2019,Outback,2019 Subaru Outback 2.0D,USED,Automatic,"4 cyl, 2 L",AWD,Diesel,6.3 L / 100 km,45258,White / Grey,"Swan Hill, VIC",4 cyl,SUV, 4 Doors, 5 Seats,34880
12051,Subaru,2020,Forester,2020 Subaru Forester 2.5I (awd),USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,7.4 L / 100 km,55815,Grey / -,"South Nowra, NSW",4 cyl,SUV, 4 Doors, 5 Seats,30990
12052,Subaru,2016,XV,2016 Subaru XV 2.0I-L,USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,7.1 L / 100 km,104887,Grey / Black,"North Narrabeen, NSW",4 cyl,SUV, 4 Doors, 5 Seats,22990
12053,Subaru,2016,Forester,2016 Subaru Forester 2.5I-S,USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,8.1 L / 100 km,94800,Silver / -,"McDougalls Hill, NSW",4 cyl,SUV, 4 Doors, 5 Seats,27990
12054,Subaru,2018,Forester,2018 Subaru Forester 2.5I-S,USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,8.1 L / 100 km,85646,White / -,"Osborne Park, WA",4 cyl,SUV, 4 Doors, 5 Seats,29990
12055,Subaru,2006,Forester,2006 Subaru Forester X Luxury,USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,9.7 L / 100 km,257874,White / -,"Minchinbury, NSW",4 cyl,SUV, 4 Doors, 5 Seats,5995
12056,Subaru,2012,XV,2012 Subaru XV 2.0I-L,USED,Manual,"4 cyl, 2 L",AWD,Unleaded,7.3 L / 100 km,185230,Silver / -,"Biggera Waters, QLD",4 cyl,SUV, 4 Doors, 5 Seats,13999
12057,Subaru,2015,Outback,2015 Subaru Outback 2.5I,USED,Automatic,"4 cyl, 2.5 L",AWD,Premium,7.3 L / 100 km,141738,Black / -,"Maryville, NSW",4 cyl,SUV, 4 Doors, 5 Seats,19771
12058,Subaru,2016,Outback,2016 Subaru Outback 2.0D Premium,USED,Manual,"4 cyl, 2 L",AWD,Diesel,6.3 L / 100 km,227284,Blue / Black Leather,"Minchinbury, NSW",4 cyl,SUV, 4 Doors, 5 Seats,19995
12059,Subaru,2022,WRX,2022 Subaru WRX TS (awd),USED,Automatic,"4 cyl, 2.4 L",AWD,Premium,8.5 L / 100 km,22411,Black / Black,"Osborne Park, WA",4 cyl,Sedan, 4 Doors, 5 Seats,49999
12060,Subaru,2015,Liberty,2015 Subaru Liberty 2.5I Premium,USED,Automatic,"4 cyl, 2.5 L",AWD,Premium,7.3 L / 100 km,159566,White / Black,"Victoria Park, WA",4 cyl,Sedan, 4 Doors, 5 Seats,14985
